MASTER_OID,VolumeCorr,BasinID,BID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,XC01,XC02,XC03,XC04,XC05,XC06,XC07,XC08,XC09,XC10,XC11,XC12
1920,0,1943000-1,1943000,2178323.22,2858894.48,2847439.61,1695078.064,1320707.967,758012.7164,458581.2279,354359.5561,263119.4141,588783.0856,1234904.116,1875346.644,0.327760584,0.364065312,0.363492288,0.298609512,0.273213576,0.227453952,0.196196712,0.183120792,0.170087544,0.210699096,0.266934696,0.30989016,713968.4909,1040824.31,1035022.34,506166.4336,360835.3465,172412.988,89972.12911,64890.60256,44753.33492,124056.0639,329638.7547,581151.4716
1921,0,1943003-1,1943003,127959837.8,159872516.7,185443928.6,175909978.4,113849103.2,81922743.12,59997514.11,47750514.73,44779464.33,56074002.07,100332426.6,142475686.2,0.779638776,0.865689912,0.928948104,0.905874744,0.738390192,0.635075184,0.552593256,0.500234712,0.486610152,0.53641752,0.696565536,0.81989676,99762451.32,138400024.9,172267785.9,159352406.7,84065061.19,52027101.16,33154221.68,23886464.98,21790141.95,30079077.13,69888110.48,116815353.5
1922,0,1943174-1,1943174,9954920.19,13246217.54,14416546.74,11366885.42,8493685.81,4236793.6,2792861.41,2692209.29,1766525.41,2394598.052,7683822.82,10276206.93,0.68045076,0.776502384,0.80788764,0.72324468,0.633042168,0.46658784,0.392625072,0.386861304,0.328150728,0.369198144,0.605110296,0.690426864,6773833.01,10285719.5,11646949.92,8221039.41,5376861.28,1976836.37,1096547.41,1041511.6,579686.5994,884081.16,4649560.3,7094969.33
1923,0,1943332-2,1943332,529989.4285,754017.4585,456166.4579,283188.6733,244706.4865,140347.8064,87834.50882,60834.10105,53621.59633,134537.1895,223308.7368,318549.0298,0.591119976,0.69346572,0.5530596,0.450390768,0.423796968,0.339492336,0.285405576,0.25149048,0.241282728,0.334042512,0.408154632,0.47336964,313287.3383,522885.2597,252287.2387,127545.5641,103705.867,47647.00466,25068.45858,15299.19727,12937.96504,44941.14074,91144.49527,150791.4395
1924,0,2490243-1,2490243,914368.4666,1190004.561,805060.3642,461727.5241,358802.5373,211340.0892,124467.0845,91330.66528,80729.65342,71873.04993,325531.5564,602038.6319,0.51713892,0.580680576,0.48947832,0.388385304,0.351486216,0.288395664,0.240755424,0.21851112,0.210613752,0.20363688,0.338520024,0.432928776,472855.5213,691012.5341,394059.5946,179328.1848,126114.1461,60949.56534,29966.12571,19956.76596,17002.77521,14636.00364,110198.9503,260639.848
1925,0,2490245-1,2490245,29541401.56,33310635,35450028.31,28157021.47,21529209.16,12650385.87,5658723.73,4909367,4925005.51,5390816.37,10986702.26,23279222.63,0.94469712,1.000710216,1.031178024,0.923291016,0.813142392,0.636242568,0.447726816,0.42202608,0.422580816,0.438735216,0.597124536,0.843613248,27907676.98,33334292.75,36555290.14,25997124.96,17506312.63,8048713.99,2533562.36,2071880.91,2081212.85,2365140.99,6560429.49,19638660.61
1926,0,2490259-2,2490259,569707.136,812962.8032,506397.1005,266627.8034,209218.9082,124856.09,75403.45845,53156.74697,45450.03399,37557.38127,109934.4258,250815.5857,0.540736536,0.63357252,0.51364896,0.392509248,0.356445312,0.2935224,0.246647208,0.220784928,0.210665568,0.199427592,0.280483056,0.382972056,308061.4633,515070.8919,260110.344,104653.8786,74575.09899,36648.0592,18598.0525,11736.20855,9574.757227,7489.978108,30834.7437,96055.36052
1927,0,2490294-1,2490294,1706545.164,2153358.363,1681543.608,1001530.167,735061.3911,435549.1657,271369.2669,197927.962,162322.948,84812.98802,306710.0507,773086.0683,0.458736192,0.506675136,0.45588936,0.36883848,0.327205848,0.270622776,0.231385872,0.210187032,0.198574152,0.168085008,0.240612168,0.333536544,782854.03,1091053.14,766597.84,369402.8645,240516.3858,117869.5243,62791.01445,41601.89088,32233.14175,14255.79177,73798.17024,257852.4554
1928,0,2490296-1,2490296,1369827.864,1761869.577,1352156.249,826262.3879,607509.1748,358337.6879,221760.0544,173919.7161,170240.0665,138762.4255,350909.8846,940358.4387,0.50532792,0.564145176,0.502502424,0.40849296,0.361105704,0.295811448,0.250414536,0.23148036,0.22992588,0.215944704,0.293577264,0.43085004,692212.2653,993950.22,679461.7927,337522.3686,219375.0283,106000.3903,55531.94113,40258.9985,39142.5971,29965.01089,103019.1638,405153.4709
1929,0,2490327-1,2490327,39691147.45,43692235.52,36844135.99,26969439.02,24934524.27,16064953.93,9726906.69,6307487.07,10498348.65,11801314.06,22152173.35,37058429.1,0.714246984,0.74669904,0.690210456,0.599184984,0.578574408,0.477688656,0.38794944,0.327550272,0.400107912,0.41972484,0.54906672,0.692051448,28349282.36,32624950.32,25430207.9,16159682.89,14426477.62,7674046.25,3773548,2066019.1,4200472.36,4953304.65,12163021.16,25646339.52
