MASTER_OID,VolumeCorr,BasinID,BID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,XC01,XC02,XC03,XC04,XC05,XC06,XC07,XC08,XC09,XC10,XC11,XC12
1821,275781.53,5254734-4,5254734,5272.37031,33456.92065,6945.827986,5649.142945,4599.562034,2561.564601,1592.720683,910.1261046,689.9343051,714.4000606,2603.156385,4489.466134,0.301922688,0.648657072,0.33470088,0.309685944,0.287383728,0.235720128,0.204115416,0.17580864,0.164616384,0.165936168,0.23693628,0.2849118,1591.848216,21702.06818,2324.774739,1749.460166,1321.839284,603.8123356,325.0988448,160.0080327,113.5744905,118.5448085,616.7821902,1279.101877
2412,53127.48,4929688-4,4929688,5627.123765,4460.107228,14478.8341,19694.93318,13539.34909,8288.997963,5049.731935,3205.013971,9823.000833,15286.20404,17006.14665,10615.69131,0.249024648,0.231026208,0.350065848,0.395514576,0.341104728,0.28442412,0.24036528,0.20897088,0.30239208,0.357551736,0.372904512,0.311161176,1401.292515,1030.40166,5068.545339,7789.633145,4618.33599,2357.590951,1213.780231,669.7545898,2970.397654,5465.60879,6341.668817,3303.190993
2127,101223.78,3117498-4,3117498,2527.312543,1279.559013,5507.241563,15636.06434,13908.782,8144.650006,4812.414107,2882.065998,8861.496642,12225.53802,7672.460925,5196.526468,0.21558504,0.17870424,0.277867872,0.414003744,0.394719048,0.320332608,0.26516076,0.224366328,0.330701904,0.374809512,0.313267344,0.272283936,544.8507757,228.6626209,1530.285494,6473.389178,5490.061191,2608.996978,1276.063382,646.638565,2930.513812,4582.24794,2403.531456,1414.93068
2401,101223.78,3464102-4,3464102,3371.381108,1715.049461,7371.532132,20514.53599,19254.54958,12771.12437,6439.386848,3860.696218,11398.59549,15474.59035,15650.74379,6948.274562,0.186784488,0.158803848,0.234571032,0.336063336,0.328053192,0.282205176,0.224832672,0.193709544,0.271177512,0.30240732,0.303663096,0.230224584,629.7216941,272.3564538,1729.1479,6894.1834,6316.51645,3604.077401,1447.784551,747.8537039,3091.042765,4679.629397,4752.553315,1599.663621
1820,217616.40,5254733-4,5254733,4513.93189,5426.50457,6275.466286,5069.30454,4093.120895,2238.616628,1382.315186,846.5151403,609.197312,535.8000455,2253.296082,3877.822247,0.150138384,0.1559052,0.16087344,0.153707592,0.1472946,0.132682488,0.12394692,0.117079776,0.113379504,0.112102392,0.1328166,0.145788888,677.7144394,846.0202803,1009.555849,779.1905939,602.894605,297.0252239,171.3337097,99.10980301,69.07048907,60.06446673,299.2751243,565.3433932
1850,35696.91,5308972-4,5308972,9651.740545,56687.15549,37009.34834,16991.46719,12345.42023,7459.608852,4677.852452,2977.482444,2006.191951,1304.024768,15836.68354,14977.93552,0.2801112,0.570485016,0.473945712,0.345304872,0.306098448,0.256312416,0.220687392,0.193666872,0.174814992,0.158291784,0.336084672,0.329025504,2703.560626,32339.17281,17540.42195,5867.236405,3778.913971,1911.990367,1032.343058,576.6397114,350.7124299,206.4164069,5322.466591,4928.122782
2340,106687.70,1774299-4,1774299,6529.910143,40358.71027,10072.55154,8078.592466,6696.27728,5186.740166,3584.233181,2906.531753,7704.266407,11560.06947,6485.871783,6527.463567,0.281120088,0.586224888,0.329546712,0.303507648,0.283637736,0.25958292,0.23007828,0.215746584,0.298295568,0.347420184,0.280449528,0.281083512,1835.688914,23659.28041,3319.376241,2451.914599,1899.316927,1346.389158,824.6542053,627.0742971,2298.148524,4016.201464,1818.95968,1834.762384
1849,61796.18,5308971-4,5308971,6221.641624,39937.89928,15988.37122,11562.51605,8399.093863,5039.945633,3187.887942,2062.463189,1485.071359,959.0576156,7305.474592,10121.48305,0.245842536,0.501542304,0.344643456,0.305016408,0.272073624,0.22977348,0.200460864,0.178481736,0.164960808,0.150257256,0.259360416,0.290614608,1529.544155,20030.54602,5510.287513,3526.757113,2285.171906,1158.045847,639.0467711,368.1120103,244.9785713,144.1053657,1894.750929,2941.450829
1841,40221.49,5292227-4,5292227,968.8439178,1372.528884,2698.572832,2351.159104,1898.542627,1007.989127,604.3041609,369.4329081,234.8712528,200.6191951,839.1754137,1609.846712,0.197742048,0.218818968,0.272728944,0.26011632,0.24228552,0.1999488,0.17474184,0.156173424,0.142881096,0.13895832,0.190122048,0.22984968,191.5811805,300.3353538,735.9789187,611.5748537,459.9893876,201.5462163,105.597221,57.69560219,33.55866202,27.87770631,159.5457483,370.0227516
2426,85370.38,5224659-4,5224659,3302.876993,3481.477008,7579.491054,6329.290948,5223.438799,3777.512649,2710.805709,1803.12618,2928.550933,7557.471874,4134.71268,4961.655215,0.21674328,0.220224096,0.28478988,0.267373608,0.250566936,0.225814128,0.204517752,0.183004968,0.209147664,0.284494224,0.232291128,0.246351552,715.8763928,766.7051268,2158.562348,1692.285357,1308.821055,853.0157249,554.4078898,329.9810489,612.4995866,2150.057096,960.4570723,1222.311463
